2017-08-16 17:50:49:3292  初始化线程 
2017-08-16 17:50:49:8092  读取Rules.XML失败String was not recognized as a valid Boolean.
2017-08-16 17:50:49:8472  获取过压保护 
2017-08-16 17:50:49:9682  获得过压过流过功率数据，收到的数据是 01-03-08-0C-7E-15-7C-00-02-49-F0-CE-9E
2017-08-16 17:50:49:9692  获得过压过流过功率数据，收到的数据是 01-03-08-0C-7E-15-7C-00-02-49-F0-CE-9E
2017-08-16 17:50:57:9047  00.00  21.65
2017-08-16 17:50:57:9597  00.00  21.65
2017-08-16 17:50:58:0127  00.00  21.64
2017-08-16 17:50:58:1157  00.00  21.64
2017-08-16 17:50:58:1897  00.00  21.64
2017-08-16 17:50:58:2437  00.00  21.64
2017-08-16 17:50:58:2977  00.00  21.64
2017-08-16 17:50:58:3547  00.00  21.64
2017-08-16 17:50:58:4077  00.00  21.64
2017-08-16 17:50:58:4627  00.00  21.64
2017-08-16 17:50:58:5157  00.00  21.64
2017-08-16 17:50:58:5697  00.00  21.64
2017-08-16 17:50:58:6237  00.00  21.64
2017-08-16 17:50:58:6767  00.00  21.64
2017-08-16 17:50:58:7297  00.00  21.64
2017-08-16 17:50:58:7877  00.00  21.64
2017-08-16 17:50:58:8427  00.00  21.64
2017-08-16 17:50:58:8977  00.00  21.64
2017-08-16 17:50:58:9538  00.00  21.64
2017-08-16 17:50:59:0108  00.00  21.64
2017-08-16 17:50:59:0668  00.00  21.64
2017-08-16 17:50:59:1188  00.00  21.64
2017-08-16 17:50:59:1728  00.00  21.63
2017-08-16 17:50:59:4268  00.00  21.63
2017-08-16 17:50:59:4858  00.00  21.63
2017-08-16 17:50:59:5518  00.00  21.63
2017-08-16 17:50:59:6048  00.00  21.63
2017-08-16 17:50:59:6578  00.00  21.63
2017-08-16 17:50:59:7118  00.00  21.63
2017-08-16 17:50:59:7668  00.00  21.63
2017-08-16 17:50:59:8228  00.00  21.63
2017-08-16 17:50:59:8758  00.00  21.63
2017-08-16 17:50:59:9288  00.00  21.63
2017-08-16 17:50:59:9828  00.00  21.63
2017-08-16 17:51:00:0368  00.00  21.63
2017-08-16 17:51:00:0988  00.00  21.63
2017-08-16 17:51:00:1518  00.00  21.63
2017-08-16 17:51:00:2048  00.00  21.63
2017-08-16 17:51:00:2588  00.00  21.63
2017-08-16 17:51:00:3138  00.00  21.63
2017-08-16 17:51:00:3698  00.00  21.63
2017-08-16 17:51:00:4238  00.00  21.63
2017-08-16 17:51:01:5849   接收超时，请检查设备是否正常！ 错误次数Thread was interrupted from a waiting state.
